Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.000227567799040834,1.19294134052345E-06,0.000343054357754395,0,0,0,0.196715976563204,6.27579250687409E-05,-1.91452448936667E-09,7.68922427456748E-07,0.000299114494595155,1.51673262172867E-09,0.000340034687432301,0,0,0,0,0,0,package://xgo/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xgo/meshes/body.STL,,body-1,body_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip,-0.0144719978725712,0.025089411531494,0.00927328893387613,0,0,0,0.0196002549077156,5.89203477270018E-06,-5.67038403743498E-07,-2.62883946754233E-07,3.79042072491085E-06,-1.16491565501409E-06,6.8883703648477E-06,0,0,0,0,0,0,package://xgo/meshes/fl_hip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xgo/meshes/fl_hip.STL,,左侧肩部-5,fl_hip_joint,flhip_joint_axis,fl_hip_joint,revolute,0.093049,0.022297,-0.00077655,0,0,0,body,-1,0,0,0,0,0,0,,,,,,,,
fl_thigh,-0.0044577436683139,-0.018670454626989,-0.0297500291650986,0,0,0,0.0188124120699227,5.8064969108525E-06,-3.99278424708607E-14,1.76124789098893E-11,5.2844889228222E-06,1.53148320807938E-12,2.03165041122278E-06,0,0,0,0,0,0,package://xgo/meshes/fl_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xgo/meshes/fl_thigh.STL,,lleg1-2,fl_thigh_joint,flthigh_joint_axis,fl_thigh_joint,revolute,-0.018825,0.049813,0,0,0,0,fl_hip,0,-1,0,0,0,0,0,,,,,,,,
fl_calf,-0.0166167777746302,-0.0188249730904121,-0.0269170700595678,0,0,0,0.0222501530869461,1.20069937467086E-05,4.2025582959187E-12,-6.61449574574148E-07,1.14502502506092E-05,8.9353070900698E-12,1.28097989761048E-06,0,0,0,0,0,0,package://xgo/meshes/fl_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xgo/meshes/fl_calf.STL,,leg2-3,fl_calf_joint,flcalf_joint_axis,fl_calf_joint,revolute,0,0,-0.0595,0,0,0,fl_thigh,0,-1,0,0,0,0,0,,,,,,,,
fl_foot,-0.00092954,4.4524E-08,-0.0022442,0,0,0,0.0016073,5.1451E-08,-5.8496E-13,7.8732E-09,7.6909E-08,-1.4025E-13,6.7199E-08,0,0,0,0,0,0,package://xgo/meshes/fl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xgo/meshes/fl_foot.STL,,硅胶小腿2-5,fl_foot_joint,flfoot_joint_axis,fl_foot_joint,fixed,-0.022663,-0.018825,-0.0715,0,0,0,fl_calf,0,0,0,,,,,,,,,,,,
fr_hip,-0.014472,-0.025087,0.0092733,0,0,0,0.0098001,2.946E-06,2.8352E-07,-1.3144E-07,1.8952E-06,5.8246E-07,3.4442E-06,0,0,0,0,0,0,package://xgo/meshes/fr_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://xgo/meshes/fr_hip.STL,,右侧肩部2-7,fr_hip_joint,frhip_joint_axis,fr_hip_joint,revolute,0.093049,-0.022303,-0.00077372,0,0,0,body,-1,0,0,0,0,0,0,,,,,,,,
fr_thigh,-0.0044234,0.01867,-0.02975,0,0,0,0.018812,5.8065E-06,-9.8221E-14,-1.7327E-11,5.2845E-06,1.4696E-12,2.0317E-06,0,0,0,0,0,0,package://xgo/meshes/fr_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo/meshes/fr_thigh.STL,,rleg1-1,fr_thigh_joint,frthigh_joint_axis,fr_thigh_joint,revolute,-0.018825,-0.049811,0,0,0,0,fr_hip,0,1,0,0,0,0,0,,,,,,,,
fr_calf,-0.016617,0.018825,-0.026917,0,0,0,0.02225,1.2007E-05,4.2026E-12,-6.6145E-07,1.145E-05,8.9353E-12,1.281E-06,0,0,0,0,0,0,package://xgo/meshes/fr_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo/meshes/fr_calf.STL,,leg2-4,fr_calf_joint,frcalf_joint_axis,fr_calf_joint,revolute,0.00019993,0,-0.0595,0,0,0,fr_thigh,0,1,0,0,0,0,0,,,,,,,,
fr_foot,-0.00092961,-4.501E-08,-0.0022442,0,0,0,0.0016073,5.1452E-08,-3.0272E-13,7.8736E-09,7.6909E-08,5.1519E-13,6.7198E-08,0,0,0,0,0,0,package://xgo/meshes/fr_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xgo/meshes/fr_foot.STL,,硅胶小腿2-6,fr_foot_joint,frfoot_joint_axis,fr_foot_joint,fixed,-0.022663,0.018825,-0.0715,0,0,0,fr_calf,0,0,0,,,,,,,,,,,,
bl_hip,-0.013972,0.025087,0.0092733,0,0,0,0.0196,5.892E-06,-5.6704E-07,-2.6288E-07,3.7904E-06,-1.1649E-06,6.8884E-06,0,0,0,0,0,0,package://xgo/meshes/bl_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://xgo/meshes/bl_hip.STL,,左侧肩部-6,bl_hip_joint,blhip_joint_axis,bl_hip_joint,revolute,-0.056701,0.022297,-0.00077655,0,0,0,body,-1,0,0,0,0,0,0,,,,,,,,
